Number of unique user ids: 903
Number of unique bid requests: 956
[id: 6e1ae10a53638f5092214fd2d2e7cf3772aeeca8, coordinate: lat: 42.5587, lng: -83.0092, time: 2014-09-15 01:41:39]
[id: CB597149-2279-42CE-8B6A-568797B1577F, coordinate: lat: 47.368359, lng: -70.035639, time: 2014-09-15 01:41:27]
[id: feacf1fe3a5fc6107039dcf31d7440a327d05e7e, coordinate: lat: 30.5183125, lng: -87.8995438, time: 2014-09-15 01:41:13]
[id: BF1E331B-7653-4B19-A3F8-93255ED349FA, coordinate: lat: 45.767019, lng: -73.805123, time: 2014-09-15 01:41:19]
[id: 3d619d043b9d18579538885dbf257122e568fb86, coordinate: lat: 39.54450512, lng: -119.71084053, time: 2014-09-15 01:41:38]
[id: 2C75A150-53F4-4D63-998D-409B7E85AA3B, coordinate: lat: 46.8143, lng: -71.2431, time: 2014-09-15 01:41:47]
[id: 909989ca-f620-4e52-a35d-a033fad5ec4c, coordinate: lat: 37.7643547, lng: -87.1221008, time: 2014-09-15 01:41:38]
[id: fe4acd1d-99c5-4a20-b5f4-12c9db4a6f8d, coordinate: lat: 42.4057579, lng: -83.292984, time: 2014-09-15 01:41:26]
[id: 24699d7e53f26854048622a9dad900bd5fc5a1c0, coordinate: lat: 30.4203739, lng: -88.7883987, time: 2014-09-15 01:41:21]
[id: 170c3b76d27b58c7f9904e81142141ec06b2ddfa, coordinate: lat: 43.1609116, lng: -96.0185547, time: 2014-09-15 01:41:49]
[id: b57b470431622048f1dc9925b196c75b59813300, coordinate: lat: 36.48631572, lng: -86.6684272, time: 2014-09-15 01:41:17]
[id: b69b1842e66e5a25bb1a9086cc298a75925b39b3, coordinate: lat: 41.606686, lng: -87.738048, time: 2014-09-15 01:41:31]
[id: 6c2bf5e37aea08db427c29ba489465973b06d79c, coordinate: lat: 37.0454407, lng: -88.4749374, time: 2014-09-15 01:41:32]
[id: 3f8182ee42e80f35ac9acb15ce397188cbad4e27, coordinate: lat: 38.755506, lng: -120.59746, time: 2014-09-15 01:41:23]
[id: 4D639EC5-862A-4546-9430-197C0BCFBD31, coordinate: lat: 49.0312, lng: -122.3012, time: 2014-09-15 01:41:11]
[id: 16ffdb86-948b-4540-b872-6dcc99fe85c2, coordinate: lat: 32.8044739, lng: -96.9462891, time: 2014-09-15 01:41:30]
[id: cce43cda-afde-48ce-a079-38810ac50137, coordinate: lat: 40.7746162, lng: -83.8179474, time: 2014-09-15 01:41:21]
[id: 834B811A-A24E-4CD0-AF0C-6EC69D855F94, coordinate: lat: 46.8921, lng: -71.2732, time: 2014-09-15 01:41:47]
[id: b698d40006ee3a2eba01811287836ea69c3b664e, coordinate: lat: 38.9533081, lng: -122.740494, time: 2014-09-15 01:41:49]
[id: 9e91831b8b840b23b42a882295be4a027bac14c9, coordinate: lat: 39.3495903, lng: -76.5286789, time: 2014-09-15 01:41:27]
[id: 94277025-430b-455e-83f7-710847c648af, coordinate: lat: 32.0192032, lng: -93.3433838, time: 2014-09-15 01:41:27]
[id: 6240F96D-6724-4318-83A9-913BE3D4DEA0, coordinate: lat: 51.804362, lng: -114.651959, time: 2014-09-15 01:41:09]
[id: 325f71b7418a5b0a9a2c2386dfbdf753d19d9ef1, coordinate: lat: 38.2477577, lng: -104.6011631, time: 2014-09-15 01:41:21]
[id: F1EE3208-F9E2-459D-BC76-18B3916C8B67, coordinate: lat: 29.085599, lng: -81.977512, time: 2014-09-15 01:41:17]
[id: 0BBB0B3A-812C-4B19-8A7B-F5A231900C93, coordinate: lat: 28.270552, lng: -82.612809, time: 2014-09-15 01:41:14]
[id: DC72490F-5A5B-44C6-9F7E-C6CA4279994A, coordinate: lat: 43.137207, lng: -77.6580048, time: 2014-09-15 01:41:18]
[id: BFCA4045-EC0F-439A-88E5-3CCC08A2B389, coordinate: lat: 36.5631561, lng: -87.4359589, time: 2014-09-15 01:41:06]
[id: 69bf9a31444864a16d1c7e92e8cb7bfe112674ae, coordinate: lat: 33.3175373, lng: -111.8926709, time: 2014-09-15 01:41:49]
[id: 5E2C4ADA-F175-4C20-B517-535F172830FB, coordinate: lat: 49.2667, lng: -122.7833, time: 2014-09-15 01:41:16]
[id: 3281f5fa257fadc0911427a1b252c3d11c8bbb46, coordinate: lat: 42.2616807, lng: -84.4514221, time: 2014-09-15 01:41:35]
[id: 3f4ab5297004429d54104af0e497afa30f699b67, coordinate: lat: 42.9760063, lng: -83.57935719, time: 2014-09-15 01:41:21]
[id: c8a453cc4a3bf6a7605cb7acf2774b98a45669fe, coordinate: lat: 40.674906, lng: -74.0024021, time: 2014-09-15 01:41:19]
[id: 7db1b705601ee9f93b334cf26ae20fc888d26634, coordinate: lat: 41.02891725, lng: -81.72869938, time: 2014-09-15 01:41:34]
[id: f1837d960de2414b4016152f94659f01a21c90a5, coordinate: lat: 45.87554868, lng: -95.37335166, time: 2014-09-15 01:41:32]
[id: 6ccd117be51e59c2735ee22ac5452fdf5e1d2654, coordinate: lat: 43.8839378, lng: -91.1864624, time: 2014-09-15 01:41:42]
[id: e3b4eab94e0188fc306f748224ac3855241c88bc, coordinate: lat: 41.2909241, lng: -72.6680679, time: 2014-09-15 01:41:41]
[id: C696788E-7310-41C7-B650-713B12808BCE, coordinate: lat: 49.3042, lng: -123.0651, time: 2014-09-15 01:41:19]
[id: 44d5077d88b90ff4c3872e66a5f4ec6696c8bc42, coordinate: lat: 42.3139572, lng: -89.0090027, time: 2014-09-15 01:41:22]
[id: 5b561fe0e267f787713ca5bc355a77b44f5a07d7, coordinate: lat: 42.0241089, lng: -93.6425629, time: 2014-09-15 01:41:40]
[id: 733a3d1afd8465e1556850863fca4e477f297ffc, coordinate: lat: 39.0061, lng: -94.6337, time: 2014-09-15 01:41:14]
[id: e81a25d3680e74d5a9bac752a770dbb4be9d4d94, coordinate: lat: 41.6995049, lng: -88.1630707, time: 2014-09-15 01:41:10]
[id: 197fe345552e581b74acee255601e766f4795c11, coordinate: lat: 47.71592149, lng: -122.16687796, time: 2014-09-15 01:41:17]
[id: ab7e85539161e4a8f0b66869acdaebf2e7772679, coordinate: lat: 34.400269, lng: -83.937291, time: 2014-09-15 01:41:28]
[id: E3870669-94D8-45DF-9228-D7AA4302A3D8, coordinate: lat: 29.740862, lng: -95.585264, time: 2014-09-15 01:41:13]
[id: 10d68b6b52cd9e769eb46730109a3ba2e276dd58, coordinate: lat: 40.4874382, lng: -93.9703903, time: 2014-09-15 01:41:54]
[id: 913419c198701294012b647a833bfc9ddea9cbf7, coordinate: lat: 31.9304333, lng: -106.42157, time: 2014-09-15 01:41:16]
[id: C36711A6-0219-45F4-8BF4-BAA150338EFB, coordinate: lat: 42.0023766, lng: -90.9372406, time: 2014-09-15 01:41:06]
[id: ccbec541875fcf8049f56a38b8b5a0d2d25fe56b, coordinate: lat: 33.6627846, lng: -84.8301544, time: 2014-09-15 01:41:11]
[id: 37a06c00308d82f46203eca490394872e9440230, coordinate: lat: 36.2702713, lng: -86.6221466, time: 2014-09-15 01:41:58]
[id: d538a5bb86f8c06b27fbad5a1341781c8ccf8c60, coordinate: lat: 42.2196159, lng: -75.9202423, time: 2014-09-15 01:41:24]
[id: 9a7feada919397ca13cbc00e0592e9ca8f6e6a94, coordinate: lat: 30.6225929, lng: -96.3520966, time: 2014-09-15 01:41:27]
[id: 6ba72a8f1dbb5d1ea5011f6869f307b742eca326, coordinate: lat: 32.7620354, lng: -96.9158707, time: 2014-09-15 01:41:09]
[id: a6fe0c2155af50120c349ead84117ab2c6b64aae, coordinate: lat: 27.4945068, lng: -82.5000687, time: 2014-09-15 01:41:47]
[id: 33A9C884-A1F6-4B38-B137-0F4E7E42381C, coordinate: lat: 44.8718796, lng: -94.378273, time: 2014-09-15 01:41:43]
[id: F2B0D7D7-40B8-4CF8-A42F-2D32D7E7E9AC, coordinate: lat: 35.0251846, lng: -89.8442535, time: 2014-09-15 01:41:16]
[id: 00370D1D-00D5-4173-AF98-7DFCC6C349F9, coordinate: lat: 49.0312, lng: -122.3012, time: 2014-09-15 01:41:26]
[id: 53de4aca5382303093fa9341ef6b6d9898057100, coordinate: lat: 31.5678, lng: -83.2719, time: 2014-09-15 01:41:23]
[id: 46a4bc1ceb7d6873931d5c5f809750d4a161bb8d, coordinate: lat: 40.27981325, lng: -78.83044331, time: 2014-09-15 01:41:19]
[id: 7905C168-B333-4E92-8EE3-2D531ED482F4, coordinate: lat: 36.9055519, lng: -83.0694199, time: 2014-09-15 01:41:48]
[id: 76ca27a6f8c8b3cdc75f4e437592f6b619331e51, coordinate: lat: 52.4752941, lng: 13.4485571, time: 2014-09-15 01:41:15]
[id: A4F8201B-72A7-43E5-9100-E78174FB1E1A, coordinate: lat: 49.156131, lng: -122.801581, time: 2014-09-15 01:41:54]
[id: 8d1ae84690a7a8128a1790a8926b0e25a2a8223a, coordinate: lat: 35.197079, lng: -101.877998, time: 2014-09-15 01:41:13]
[id: a20a29c99301e3e6b2f787ead99116deccfec42b, coordinate: lat: 38.75725147, lng: -93.94432208, time: 2014-09-15 01:41:42]
[id: dbe438bf6d0079b6696e46508654f709b1bf47d4, coordinate: lat: 41.0630646, lng: -85.3361435, time: 2014-09-15 01:41:19]
[id: f0b669c8d272f1480c6a3df2c6941012f4bbc898, coordinate: lat: 41.0250317, lng: -83.6270637, time: 2014-09-15 01:41:21]
[id: 4027876033f5ad6577e3900452f01424a6a450cf, coordinate: lat: 46.8738, lng: -96.7676, time: 2014-09-15 01:41:53]
[id: 79CCA7AF-6D2D-4254-A0FD-78FC4E36FA7C, coordinate: lat: 43.788132, lng: -79.16059, time: 2014-09-15 01:41:48]
[id: 8CC223FB-EC98-4B6F-ABDB-BE95DE09EE1D, coordinate: lat: 32.7589569, lng: -97.5053864, time: 2014-09-15 01:41:25]
[id: 5f70ad9176f364b4d278e78faae346cda9b3f92d, coordinate: lat: 28.398243, lng: -97.7594225, time: 2014-09-15 01:41:14]
[id: 46fedbf591f0ee16b35c3a1cb14287981df4c7bd, coordinate: lat: 40.5378, lng: -75.7812, time: 2014-09-15 01:41:51]
[id: 93347751ceda6fd977cfa4988102f53bb65d5cd7, coordinate: lat: 43.5939407, lng: -83.7720718, time: 2014-09-15 01:41:11]
[id: eaae529dafa9fa3f23fd3c9fcdcbad7b1cf4906b, coordinate: lat: 39.3153152, lng: -76.6673737, time: 2014-09-15 01:41:50]
[id: 38854023d8e4df2da16fca2d807484a63c537503, coordinate: lat: 42.314279, lng: -88.263669, time: 2014-09-15 01:41:45]
[id: 99452131-AF68-4C2D-BEC7-BE3BE4F5A0EB, coordinate: lat: 33.634805, lng: -80.908721, time: 2014-09-15 01:41:53]
[id: 0af40557f32620113074db6b82b4c8ec4c10cb04, coordinate: lat: 26.6126118, lng: -81.8418503, time: 2014-09-15 01:41:29]
[id: 45646249f04061fe17e2354004f66b52d7dc36cf, coordinate: lat: 42.426548, lng: -71.0245285, time: 2014-09-15 01:41:13]
[id: 0573BCAA-1F1C-4DB6-B7D5-127E5A5AAB82, coordinate: lat: 49.0992, lng: -122.8691, time: 2014-09-15 01:41:28]
[id: 97ae8ab6-e7ed-476d-a0b2-9f715b257d65, coordinate: lat: 29.6974163, lng: -91.3100204, time: 2014-09-15 01:41:14]
[id: 61C33A4C-56BF-4FB6-ADEE-C2A01DDE60C9, coordinate: lat: 38.9237938, lng: -78.1913605, time: 2014-09-15 01:41:34]
[id: 228df2a9-7145-4828-adb1-d82aed656bc8, coordinate: lat: 39.9509468, lng: -79.9501801, time: 2014-09-15 01:41:09]
[id: 0d7bcee4cb27ba3d3020c6cbd8fc36237982693b, coordinate: lat: 29.8856201, lng: -95.4542465, time: 2014-09-15 01:41:20]
[id: 52b619ee01aa51f8f2eb6d9601699db6daf6c1b2, coordinate: lat: 33.3345949, lng: -97.1802391, time: 2014-09-15 01:41:51]
[id: 8582e17a43100745864906d5c2981940d189902d, coordinate: lat: 34.2368813, lng: -89.0026398, time: 2014-09-15 01:41:24]
[id: F595CD56-F102-4D24-9CCB-7FFD84825380, coordinate: lat: 41.9357414, lng: -88.765831, time: 2014-09-15 01:41:40]
[id: FB6FEFC2-7583-4FFF-A66F-53EDEF9F3D0A, coordinate: lat: 49.2007, lng: -122.6641, time: 2014-09-15 01:41:55]
[id: a889fea048c05c8ec08fc8a232998605b371967b, coordinate: lat: 32.5765762, lng: -97.0742416, time: 2014-09-15 01:41:10]
[id: 476152b5d11bd3c486e44230c4c208ef7e5e2857, coordinate: lat: 36.6609876, lng: -93.2203555, time: 2014-09-15 01:41:05]
[id: 580d19ad650b35c3a16da34a325f420d10ed389b, coordinate: lat: 42.1161995, lng: -79.9837036, time: 2014-09-15 01:41:40]
[id: E2809945-57BE-4808-A69C-0DC97A5F617C, coordinate: lat: 28.5421, lng: -81.3752, time: 2014-09-15 01:41:46]
[id: BB705588-9B0B-4023-8636-37DDC1367288, coordinate: lat: 29.658502, lng: -95.576139, time: 2014-09-15 01:41:45]
[id: 5251619034e5ea80f431513402466ca5e12787a5, coordinate: lat: 31.6084652, lng: -85.5457916, time: 2014-09-15 01:41:34]
[id: 66b5a876-7e67-43d7-8bb3-a62759a442cd, coordinate: lat: 40.6285629, lng: -73.9567871, time: 2014-09-15 01:41:04]
[id: DDC8227F-7FF8-4FFF-B6FE-0FB860F13183, coordinate: lat: 37.4804039, lng: -84.0509033, time: 2014-09-15 01:41:09]
[id: 748a53a70d5fee3bbaa474478138b90892caef30, coordinate: lat: 32.3423424, lng: -106.760269, time: 2014-09-15 01:41:29, id: 748a53a70d5fee3bbaa474478138b90892caef30, coordinate: lat: 32.3423424, lng: -106.760269, time: 2014-09-15 01:41:30]
[id: 11c729adc382776d9e02f13a36e1d66cce9b55d5, coordinate: lat: 43.2070732, lng: -75.4355469, time: 2014-09-15 01:41:23, id: 11c729adc382776d9e02f13a36e1d66cce9b55d5, coordinate: lat: 43.2070732, lng: -75.4355469, time: 2014-09-15 01:41:53]
[id: 33e5972ef28ba605995e9e79bc2747b7dd5dff1e, coordinate: lat: 30.0706425, lng: -95.2046356, time: 2014-09-15 01:41:47]
[id: 7B1FDA4C-1610-4358-AA91-3DC38FC8E66C, coordinate: lat: 36.4568977, lng: -81.401123, time: 2014-09-15 01:41:31]
[id: f6a4289a175a76b07d737bf4be7004e5cde17478, coordinate: lat: 38.8684297, lng: -96.5835474, time: 2014-09-15 01:41:45]
[id: 1ae65702-2c42-4ba9-99e7-4885032f48d8, coordinate: lat: 40.0645447, lng: -75.0884705, time: 2014-09-15 01:41:59]
[id: dc34eb74fb32469aa33a211897716b70625859ad, coordinate: lat: 43.0051689, lng: -87.9567871, time: 2014-09-15 01:41:29]
[id: 24AE9F70-E177-498B-8C69-43EC8D5074E7, coordinate: lat: 29.940815, lng: -89.9633789, time: 2014-09-15 01:41:16]
[id: 89c87f8aa17ec5c034abf5b66ca42836e77b5574, coordinate: lat: 42.7748, lng: -112.8849, time: 2014-09-15 01:41:25]
[id: 37a3f05ca3036bb95dd12854cead7085c87dd811, coordinate: lat: 33.47540715, lng: -112.33926616, time: 2014-09-15 01:41:56]
[id: 13E94331-D0D2-4F08-B4D7-2BF1BDE97708, coordinate: lat: 46.2318, lng: -63.1192, time: 2014-09-15 01:41:33]
[id: 468fbd78aaf517121e986566eaff7107a77b3360, coordinate: lat: 42.422141, lng: -123.027072, time: 2014-09-15 01:41:21]
[id: 1fb89e2508d9c04609163532e0c4f8e7be209be2, coordinate: lat: 35.5061302, lng: -97.5130081, time: 2014-09-15 01:41:46]
[id: 0749413A-FE29-4B29-8D50-12C8824C7911, coordinate: lat: 38.1419449, lng: -83.5441437, time: 2014-09-15 01:41:06]
