Number of good coordinates: 890
1: lat: 29.938879, lng: -95.3576889
1: lat: 35.8764915, lng: -85.5483322
1: lat: 37.768021, lng: -89.344764
1: lat: 43.788132, lng: -79.16059
1: lat: 40.6712914, lng: -73.6339798
1: lat: 38.6753525, lng: -121.954499
1: lat: 39.5745019, lng: -104.9966918
1: lat: 35.0268707, lng: -80.8312988
1: lat: 42.2395477, lng: -83.2354279
1: lat: 37.7643547, lng: -87.1221008
1: lat: 37.7111969, lng: -85.8646698
1: lat: 31.0730343, lng: -97.4661102
1: lat: 46.7863, lng: -71.2579
1: lat: 35.1120509, lng: -78.901236
1: lat: 40.4874382, lng: -93.9703903
1: lat: 48.122878, lng: -121.916253
1: lat: 41.5520935, lng: -81.4911194
1: lat: 28.087038, lng: -82.58181
1: lat: 45.5530743, lng: -122.6201982
1: lat: 38.9375763, lng: -95.0946808
1: lat: 45.2915039, lng: -93.5663605
1: lat: 39.26716177, lng: -81.31256041
1: lat: 39.7122612, lng: -82.6270523
1: lat: 36.2031555, lng: -83.2749786
1: lat: 39.152401, lng: -77.2376404
1: lat: 36.152319, lng: -79.81273328
1: lat: 42.649292, lng: -84.6628647
1: lat: 37.51922366, lng: -120.85588387
1: lat: 40.782102, lng: -74.032128
1: lat: 38.75725147, lng: -93.94432208
1: lat: 39.111505, lng: -84.586738
1: lat: 50.9093, lng: -114.0721
1: lat: 46.241225, lng: -63.122141
1: lat: 40.6416321, lng: -75.4197845
1: lat: 41.4919548, lng: -72.087326
1: lat: 42.6480141, lng: -73.6127472
1: lat: 34.8421173, lng: -89.9687271
1: lat: 29.694664, lng: -91.3144836
1: lat: 32.187315, lng: -80.716196
1: lat: 33.8989185, lng: 35.476156
1: lat: 51.804362, lng: -114.651959
1: lat: 35.2709007, lng: -81.3995514
1: lat: 41.4414406, lng: -81.577507
1: lat: 33.7078018, lng: -87.8244247
1: lat: 28.5266571, lng: -81.4583282
1: lat: 30.3603611, lng: -97.3920364
1: lat: 41.5580521, lng: -93.6169586
1: lat: 53.541162, lng: -113.606679
1: lat: 35.7629738, lng: -83.9782715
1: lat: 45.8105319, lng: -108.4368508
1: lat: 41.2255686667, lng: -75.8931896
1: lat: 46.4918, lng: -80.9955
1: lat: 41.5467186, lng: -90.5164413
1: lat: 39.9099083, lng: -83.0367584
1: lat: 40.5236397, lng: -80.0335083
1: lat: 42.0866737, lng: -87.760849
1: lat: 45.009009009, lng: -123.04318771
1: lat: 42.740612, lng: -93.1993027
1: lat: 41.679838, lng: -93.072411
1: lat: 39.6576576, lng: -86.0796585
1: lat: 47.4151001, lng: -120.330635
1: lat: 41.6034317, lng: -87.8047333
1: lat: 38.9533081, lng: -122.740494
1: lat: 53.54052, lng: -113.582962
1: lat: 36.208046, lng: -95.5857315
1: lat: 40.7010231, lng: -80.2988281
1: lat: 43.5747, lng: -79.7278
1: lat: 40.4659882, lng: -88.9768753
1: lat: 34.26576747, lng: -116.36266969
1: lat: 33.990676, lng: -83.729546
1: lat: 32.4504509, lng: -85.0023575
1: lat: 37.8131256, lng: -91.748848
1: lat: 38.2364845, lng: -77.4658432
1: lat: 33.7150345, lng: -117.170166
1: lat: 41.8378372, lng: -72.5039368
1: lat: 39.5776504, lng: -87.4258461
1: lat: 46.2629, lng: -81.7719
1: lat: 39.954216, lng: -75.2387238
1: lat: 39.0138626, lng: -76.9170609
1: lat: 43.5646935, lng: -70.4134216
1: lat: 40.5256615, lng: -80.1927261
1: lat: 49.8858, lng: -97.2601
1: lat: 40.6285629, lng: -73.9567871
1: lat: 41.43567456, lng: -87.34386174
1: lat: 33.8015618, lng: -118.1165571
1: lat: 35.6109276, lng: -97.5956268
1: lat: 40.0645447, lng: -75.0884705
1: lat: 55.1726, lng: -118.7997
1: lat: 37.9139595, lng: -87.7806396
1: lat: 44.6486486486, lng: -123.112089877
1: lat: 33.9639626, lng: -117.420624
1: lat: 36.89275327, lng: -76.22903672
